action_diff_calls,candidate_money,candidate_status,changed_calls,current_quantity,current_step,direction,done,future_quantity,future_step,item,margin,opponent,opponent_money,opponent_status,quantity,result,seat,seat_filter,seed
2,126302.0,DONE,2,9,336,delay,1,3,375,MILK,13.0,v22,126289.0,DONE,1,win,0,0,17
0,126289.0,DONE,0,9,336,delay,1,3,375,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129604.0,DONE,2,9,336,delay,1,3,375,MILK,13.0,v22,129591.0,DONE,1,win,0,0,42
0,129589.0,DONE,0,9,336,delay,1,3,375,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103888.0,DONE,2,9,336,delay,1,3,375,MILK,4.0,v22,103884.0,DONE,1,win,0,0,2026
0,103879.0,DONE,0,9,336,delay,1,3,375,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
2,107029.0,DONE,2,9,336,delay,1,3,375,MILK,40.0,v22,106989.0,DONE,1,win,0,0,217
0,106984.0,DONE,0,9,336,delay,1,3,375,MILK,0.0,v22,106984.0,DONE,1,tie,1,0,217
2,116213.0,DONE,2,9,336,delay,1,3,375,MILK,30.0,v22,116183.0,DONE,1,win,0,0,317
0,116176.0,DONE,0,9,336,delay,1,3,375,MILK,0.0,v22,116176.0,DONE,1,tie,1,0,317
2,143180.0,DONE,2,9,336,delay,1,3,375,MILK,1016.0,v22,142164.0,DONE,1,win,0,0,733
0,142164.0,DONE,0,9,336,delay,1,3,375,MILK,-1005.0,v22,143169.0,DONE,1,loss,1,0,733
