action_diff_calls,candidate_money,candidate_status,changed_calls,current_quantity,current_step,direction,done,future_quantity,future_step,item,margin,opponent,opponent_money,opponent_status,quantity,result,seat,seat_filter,seed
2,126283.0,DONE,2,6,213,delay,1,6,215,MILK,-10.0,v22,126293.0,DONE,1,loss,0,0,17
0,126289.0,DONE,0,6,213,delay,1,6,215,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129581.0,DONE,2,6,213,delay,1,6,215,MILK,-13.0,v22,129594.0,DONE,1,loss,0,0,42
0,129589.0,DONE,0,6,213,delay,1,6,215,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103828.0,DONE,2,6,213,delay,1,6,215,MILK,-71.0,v22,103899.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,6,213,delay,1,6,215,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
2,126305.0,DONE,2,6,215,delay,1,3,260,MILK,14.0,v22,126291.0,DONE,1,win,0,0,17
0,126289.0,DONE,0,6,215,delay,1,3,260,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129609.0,DONE,2,6,215,delay,1,3,260,MILK,18.0,v22,129591.0,DONE,1,win,0,0,42
0,129589.0,DONE,0,6,215,delay,1,3,260,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103876.0,DONE,2,6,215,delay,1,3,260,MILK,-7.0,v22,103883.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,6,215,delay,1,3,260,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
2,126286.0,DONE,2,3,283,delay,1,6,288,MILK,-7.0,v22,126293.0,DONE,1,loss,0,0,17
0,126289.0,DONE,0,3,283,delay,1,6,288,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129585.0,DONE,2,3,283,delay,1,6,288,MILK,-8.0,v22,129593.0,DONE,1,loss,0,0,42
0,129589.0,DONE,0,3,283,delay,1,6,288,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103831.0,DONE,2,3,283,delay,1,6,288,MILK,-67.0,v22,103898.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,3,283,delay,1,6,288,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
2,126294.0,DONE,2,6,288,delay,1,3,308,MILK,4.0,v22,126290.0,DONE,1,win,0,0,17
0,126289.0,DONE,0,6,288,delay,1,3,308,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129596.0,DONE,2,6,288,delay,1,3,308,MILK,5.0,v22,129591.0,DONE,1,win,0,0,42
0,129589.0,DONE,0,6,288,delay,1,3,308,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103861.0,DONE,2,6,288,delay,1,3,308,MILK,-24.0,v22,103885.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,6,288,delay,1,3,308,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
2,126291.0,DONE,2,3,310,delay,1,9,336,MILK,-2.0,v22,126293.0,DONE,1,loss,0,0,17
0,126289.0,DONE,0,3,310,delay,1,9,336,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129592.0,DONE,2,3,310,delay,1,9,336,MILK,-2.0,v22,129594.0,DONE,1,loss,0,0,42
0,129589.0,DONE,0,3,310,delay,1,9,336,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103851.0,DONE,2,3,310,delay,1,9,336,MILK,-55.0,v22,103906.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,3,310,delay,1,9,336,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
2,126302.0,DONE,2,9,336,delay,1,3,375,MILK,13.0,v22,126289.0,DONE,1,win,0,0,17
0,126289.0,DONE,0,9,336,delay,1,3,375,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129604.0,DONE,2,9,336,delay,1,3,375,MILK,13.0,v22,129591.0,DONE,1,win,0,0,42
0,129589.0,DONE,0,9,336,delay,1,3,375,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103888.0,DONE,2,9,336,delay,1,3,375,MILK,4.0,v22,103884.0,DONE,1,win,0,0,2026
0,103879.0,DONE,0,9,336,delay,1,3,375,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
