action_diff_calls,candidate_money,candidate_status,changed_calls,current_quantity,current_step,direction,done,future_quantity,future_step,item,margin,opponent,opponent_money,opponent_status,quantity,result,seat,seat_filter,seed
2,126281.0,DONE,2,3,378,delay,1,12,384,MILK,-11.0,v22,126292.0,DONE,1,loss,0,0,17
0,126289.0,DONE,0,3,378,delay,1,12,384,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129581.0,DONE,2,3,378,delay,1,12,384,MILK,-15.0,v22,129596.0,DONE,1,loss,0,0,42
0,129589.0,DONE,0,3,378,delay,1,12,384,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103821.0,DONE,2,3,378,delay,1,12,384,MILK,-92.0,v22,103913.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,3,378,delay,1,12,384,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
2,126287.0,DONE,2,12,384,delay,1,6,388,MILK,-5.0,v22,126292.0,DONE,1,loss,0,0,17
0,126289.0,DONE,0,12,384,delay,1,6,388,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129585.0,DONE,2,12,384,delay,1,6,388,MILK,-8.0,v22,129593.0,DONE,1,loss,0,0,42
0,129589.0,DONE,0,12,384,delay,1,6,388,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103837.0,DONE,2,12,384,delay,1,6,388,MILK,-55.0,v22,103892.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,12,384,delay,1,6,388,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
2,126294.0,DONE,2,6,388,delay,1,3,404,MILK,4.0,v22,126290.0,DONE,1,win,0,0,17
0,126289.0,DONE,0,6,388,delay,1,3,404,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129593.0,DONE,2,6,388,delay,1,3,404,MILK,3.0,v22,129590.0,DONE,1,win,0,0,42
0,129589.0,DONE,0,6,388,delay,1,3,404,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103856.0,DONE,2,6,388,delay,1,3,404,MILK,-29.0,v22,103885.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,6,388,delay,1,3,404,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
2,126287.0,DONE,2,6,423,delay,1,3,425,MILK,-2.0,v22,126289.0,DONE,1,loss,0,0,17
0,126289.0,DONE,0,6,423,delay,1,3,425,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129587.0,DONE,2,6,423,delay,1,3,425,MILK,-4.0,v22,129591.0,DONE,1,loss,0,0,42
0,129589.0,DONE,0,6,423,delay,1,3,425,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103839.0,DONE,2,6,423,delay,1,3,425,MILK,-46.0,v22,103885.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,6,423,delay,1,3,425,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
2,126289.0,DONE,2,6,428,delay,1,3,431,MILK,-2.0,v22,126291.0,DONE,1,loss,0,0,17
0,126289.0,DONE,0,6,428,delay,1,3,431,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129586.0,DONE,2,6,428,delay,1,3,431,MILK,-8.0,v22,129594.0,DONE,1,loss,0,0,42
0,129589.0,DONE,0,6,428,delay,1,3,431,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103839.0,DONE,2,6,428,delay,1,3,431,MILK,-47.0,v22,103886.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,6,428,delay,1,3,431,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
2,126283.0,DONE,2,3,431,delay,1,6,432,MILK,-9.0,v22,126292.0,DONE,1,loss,0,0,17
0,126289.0,DONE,0,3,431,delay,1,6,432,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129574.0,DONE,2,3,431,delay,1,6,432,MILK,-36.0,v22,129610.0,DONE,1,loss,0,0,42
0,129589.0,DONE,0,3,431,delay,1,6,432,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103829.0,DONE,2,3,431,delay,1,6,432,MILK,-63.0,v22,103892.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,3,431,delay,1,6,432,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
