action_diff_calls,candidate_money,candidate_status,changed_calls,current_quantity,current_step,direction,done,future_quantity,future_step,item,margin,opponent,opponent_money,opponent_status,quantity,result,seat,seat_filter,seed
2,126302.0,DONE,2,3,480,delay,1,6,504,MILK,9.0,v22,126293.0,DONE,1,win,0,0,17
0,126289.0,DONE,0,3,480,delay,1,6,504,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129625.0,DONE,2,3,480,delay,1,6,504,MILK,15.0,v22,129610.0,DONE,1,win,0,0,42
0,129589.0,DONE,0,3,480,delay,1,6,504,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103871.0,DONE,2,3,480,delay,1,6,504,MILK,-21.0,v22,103892.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,3,480,delay,1,6,504,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
2,126298.0,DONE,2,6,504,delay,1,6,522,MILK,6.0,v22,126292.0,DONE,1,win,0,0,17
0,126289.0,DONE,0,6,504,delay,1,6,522,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129628.0,DONE,2,6,504,delay,1,6,522,MILK,29.0,v22,129599.0,DONE,1,win,0,0,42
0,129589.0,DONE,0,6,504,delay,1,6,522,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103876.0,DONE,2,6,504,delay,1,6,522,MILK,-15.0,v22,103891.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,6,504,delay,1,6,522,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
2,126288.0,DONE,2,6,522,delay,1,3,526,MILK,-3.0,v22,126291.0,DONE,1,loss,0,0,17
0,126289.0,DONE,0,6,522,delay,1,3,526,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129586.0,DONE,2,6,522,delay,1,3,526,MILK,-17.0,v22,129603.0,DONE,1,loss,0,0,42
0,129589.0,DONE,0,6,522,delay,1,3,526,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103841.0,DONE,2,6,522,delay,1,3,526,MILK,-44.0,v22,103885.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,6,522,delay,1,3,526,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
2,126285.0,DONE,2,3,551,delay,1,6,552,MILK,-8.0,v22,126293.0,DONE,1,loss,0,0,17
0,126289.0,DONE,0,3,551,delay,1,6,552,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129575.0,DONE,2,3,551,delay,1,6,552,MILK,-25.0,v22,129600.0,DONE,1,loss,0,0,42
