all_done,current_step,direction,errors,future_step,games,item,losses,mean_changed_calls,mean_margin,mean_money,min_money,quantity,ties,wins
1,480,delay,0,504,6,MILK,1,1,6.5,119925.83333333333,103871.0,1,2,3
1,504,delay,0,522,6,MILK,1,1,9.333333333333334,119926.5,103876.0,1,2,3
1,522,delay,0,526,6,MILK,3,1,-4.666666666666667,119912.0,103841.0,1,2,1
1,551,delay,0,552,6,MILK,3,1,-10.0,119907.66666666667,103829.0,1,2,1
1,552,delay,0,571,6,MILK,1,1,11.166666666666666,119926.16666666667,103879.0,1,2,3
1,572,delay,0,576,6,MILK,3,1,-39.0,119907.83333333333,103829.0,1,2,1
1,576,delay,0,596,6,MILK,1,1,7.166666666666667,119921.66666666667,103879.0,1,3,2
1,596,delay,0,598,6,MILK,3,1,-6.5,119910.16666666667,103835.0,1,2,1
1,598,delay,0,600,6,MILK,3,1,-11.5,119907.66666666667,103829.0,1,2,1
1,600,delay,0,619,6,MILK,1,1,3.1666666666666665,119922.66666666667,103869.0,1,2,3
1,619,delay,0,620,6,MILK,3,1,-11.666666666666666,119906.0,103828.0,1,2,1
1,620,delay,0,621,6,MILK,3,1,-3.1666666666666665,119912.16666666667,103841.0,1,2,1
