action_diff_calls,candidate_money,candidate_status,changed_calls,current_quantity,current_step,direction,done,future_quantity,future_step,item,margin,opponent,opponent_money,opponent_status,quantity,result,schedule,seat,seat_filter,seed
12,126349.0,DONE,12,1,"215,288,336,388,504,552",delay,1,1,"260,308,375,404,522,571",MILK_SCHEDULE,50.0,v22,126299.0,DONE,1,win,"[{'item': 'MILK', 'current_step': 215, 'future_step': 260, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 288, 'future_step': 308, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 336, 'future_step': 375, 'current_quantity': 9, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 388, 'future_step': 404, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 504, 'future_step': 522, 'current_quantity': 6, 'future_quantity': 6, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 552, 'future_step': 571, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}]",0,,17
12,126349.0,DONE,12,1,"215,288,336,388,504,552",delay,1,1,"260,308,375,404,522,571",MILK_SCHEDULE,50.0,v22,126299.0,DONE,1,win,"[{'item': 'MILK', 'current_step': 215, 'future_step': 260, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 288, 'future_step': 308, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 336, 'future_step': 375, 'current_quantity': 9, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 388, 'future_step': 404, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 504, 'future_step': 522, 'current_quantity': 6, 'future_quantity': 6, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 552, 'future_step': 571, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}]",1,,17
12,129702.0,DONE,12,1,"215,288,336,388,504,552",delay,1,1,"260,308,375,404,522,571",MILK_SCHEDULE,93.0,v22,129609.0,DONE,1,win,"[{'item': 'MILK', 'current_step': 215, 'future_step': 260, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 288, 'future_step': 308, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 336, 'future_step': 375, 'current_quantity': 9, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 388, 'future_step': 404, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 504, 'future_step': 522, 'current_quantity': 6, 'future_quantity': 6, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 552, 'future_step': 571, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}]",0,,42
12,129702.0,DONE,12,1,"215,288,336,388,504,552",delay,1,1,"260,308,375,404,522,571",MILK_SCHEDULE,93.0,v22,129609.0,DONE,1,win,"[{'item': 'MILK', 'current_step': 215, 'future_step': 260, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 288, 'future_step': 308, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 336, 'future_step': 375, 'current_quantity': 9, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 388, 'future_step': 404, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 504, 'future_step': 522, 'current_quantity': 6, 'future_quantity': 6, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 552, 'future_step': 571, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}]",1,,42
12,104024.0,DONE,12,1,"215,288,336,388,504,552",delay,1,1,"260,308,375,404,522,571",MILK_SCHEDULE,106.0,v22,103918.0,DONE,1,win,"[{'item': 'MILK', 'current_step': 215, 'future_step': 260, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 288, 'future_step': 308, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 336, 'future_step': 375, 'current_quantity': 9, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 388, 'future_step': 404, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 504, 'future_step': 522, 'current_quantity': 6, 'future_quantity': 6, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 552, 'future_step': 571, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}]",0,,2026
12,104060.0,DONE,12,1,"215,288,336,388,504,552",delay,1,1,"260,308,375,404,522,571",MILK_SCHEDULE,178.0,v22,103882.0,DONE,1,win,"[{'item': 'MILK', 'current_step': 215, 'future_step': 260, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 288, 'future_step': 308, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 336, 'future_step': 375, 'current_quantity': 9, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 388, 'future_step': 404, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 504, 'future_step': 522, 'current_quantity': 6, 'future_quantity': 6, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 552, 'future_step': 571, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}]",1,,2026
12,107165.0,DONE,12,1,"215,288,336,388,504,552",delay,1,1,"260,308,375,404,522,571",MILK_SCHEDULE,142.0,v22,107023.0,DONE,1,win,"[{'item': 'MILK', 'current_step': 215, 'future_step': 260, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 288, 'future_step': 308, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 336, 'future_step': 375, 'current_quantity': 9, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 388, 'future_step': 404, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 504, 'future_step': 522, 'current_quantity': 6, 'future_quantity': 6, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 552, 'future_step': 571, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}]",0,,217
12,107165.0,DONE,12,1,"215,288,336,388,504,552",delay,1,1,"260,308,375,404,522,571",MILK_SCHEDULE,142.0,v22,107023.0,DONE,1,win,"[{'item': 'MILK', 'current_step': 215, 'future_step': 260, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 288, 'future_step': 308, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 336, 'future_step': 375, 'current_quantity': 9, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 388, 'future_step': 404, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 504, 'future_step': 522, 'current_quantity': 6, 'future_quantity': 6, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 552, 'future_step': 571, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}]",1,,217
12,116320.0,DONE,12,1,"215,288,336,388,504,552",delay,1,1,"260,308,375,404,522,571",MILK_SCHEDULE,101.0,v22,116219.0,DONE,1,win,"[{'item': 'MILK', 'current_step': 215, 'future_step': 260, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 288, 'future_step': 308, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 336, 'future_step': 375, 'current_quantity': 9, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 388, 'future_step': 404, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 504, 'future_step': 522, 'current_quantity': 6, 'future_quantity': 6, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 552, 'future_step': 571, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}]",0,,317
12,116320.0,DONE,12,1,"215,288,336,388,504,552",delay,1,1,"260,308,375,404,522,571",MILK_SCHEDULE,101.0,v22,116219.0,DONE,1,win,"[{'item': 'MILK', 'current_step': 215, 'future_step': 260, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 288, 'future_step': 308, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 336, 'future_step': 375, 'current_quantity': 9, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 388, 'future_step': 404, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 504, 'future_step': 522, 'current_quantity': 6, 'future_quantity': 6, 'direction': 'delay'}, {'item': 'MILK', 'current_step': 552, 'future_step': 571, 'current_quantity': 6, 'future_quantity': 0, 'direction': 'delay'}]",1,,317
