action_diff_calls,candidate_money,candidate_status,changed_calls,current_quantity,current_step,direction,done,future_quantity,future_step,item,margin,opponent,opponent_money,opponent_status,quantity,result,seat,seat_filter,seed
2,126292.0,DONE,2,6,432,delay,1,4,454,STRAWBERRY,2.0,v22,126290.0,DONE,1,win,0,,17
2,126292.0,DONE,2,6,432,delay,1,4,454,STRAWBERRY,2.0,v22,126290.0,DONE,1,win,1,,17
2,126291.0,DONE,2,4,456,delay,1,6,473,STRAWBERRY,1.0,v22,126290.0,DONE,1,win,0,,17
2,126291.0,DONE,2,4,456,delay,1,6,473,STRAWBERRY,1.0,v22,126290.0,DONE,1,win,1,,17
2,126294.0,DONE,2,16,480,delay,1,6,503,STRAWBERRY,3.0,v22,126291.0,DONE,1,win,0,,17
2,126294.0,DONE,2,16,480,delay,1,6,503,STRAWBERRY,3.0,v22,126291.0,DONE,1,win,1,,17
2,126294.0,DONE,2,2,504,delay,1,8,523,STRAWBERRY,2.0,v22,126292.0,DONE,1,win,0,,17
2,126294.0,DONE,2,2,504,delay,1,8,523,STRAWBERRY,2.0,v22,126292.0,DONE,1,win,1,,17
2,126290.0,DONE,2,31,524,delay,1,4,528,STRAWBERRY,-3.0,v22,126293.0,DONE,1,loss,0,,17
2,126290.0,DONE,2,31,524,delay,1,4,528,STRAWBERRY,-3.0,v22,126293.0,DONE,1,loss,1,,17
2,126295.0,DONE,2,4,528,delay,1,20,552,STRAWBERRY,-8.0,v22,126303.0,DONE,1,loss,0,,17
2,126295.0,DONE,2,4,528,delay,1,20,552,STRAWBERRY,-8.0,v22,126303.0,DONE,1,loss,1,,17
2,126296.0,DONE,2,20,552,delay,1,19,573,STRAWBERRY,-8.0,v22,126304.0,DONE,1,loss,0,,17
2,126296.0,DONE,2,20,552,delay,1,19,573,STRAWBERRY,-8.0,v22,126304.0,DONE,1,loss,1,,17
2,126333.0,DONE,2,47,576,delay,1,4,596,STRAWBERRY,36.0,v22,126297.0,DONE,1,win,0,,17
2,126333.0,DONE,2,47,576,delay,1,4,596,STRAWBERRY,36.0,v22,126297.0,DONE,1,win,1,,17
2,126321.0,DONE,2,12,600,delay,1,14,623,STRAWBERRY,6.0,v22,126315.0,DONE,1,win,0,,17
2,126321.0,DONE,2,12,600,delay,1,14,623,STRAWBERRY,6.0,v22,126315.0,DONE,1,win,1,,17
2,126203.0,DONE,2,14,623,delay,1,42,624,STRAWBERRY,-23.0,v22,126226.0,DONE,1,loss,0,,17
2,126203.0,DONE,2,14,623,delay,1,42,624,STRAWBERRY,-23.0,v22,126226.0,DONE,1,loss,1,,17
2,126259.0,DONE,2,42,624,delay,1,9,648,STRAWBERRY,27.0,v22,126232.0,DONE,1,win,0,,17
2,126259.0,DONE,2,42,624,delay,1,9,648,STRAWBERRY,27.0,v22,126232.0,DONE,1,win,1,,17
