all_done,current_step,direction,errors,future_step,games,item,losses,mean_changed_calls,mean_margin,mean_money,min_money,quantity,ties,wins
1,432,delay,0,454,2,STRAWBERRY,0,2,2.0,126292.0,126292.0,1,0,2
1,456,delay,0,473,2,STRAWBERRY,0,2,1.0,126291.0,126291.0,1,0,2
1,480,delay,0,503,2,STRAWBERRY,0,2,3.0,126294.0,126294.0,1,0,2
1,504,delay,0,523,2,STRAWBERRY,0,2,2.0,126294.0,126294.0,1,0,2
1,524,delay,0,528,2,STRAWBERRY,2,2,-3.0,126290.0,126290.0,1,0,0
1,528,delay,0,552,2,STRAWBERRY,2,2,-8.0,126295.0,126295.0,1,0,0
1,552,delay,0,573,2,STRAWBERRY,2,2,-8.0,126296.0,126296.0,1,0,0
1,576,delay,0,596,2,STRAWBERRY,0,2,36.0,126333.0,126333.0,1,0,2
1,600,delay,0,623,2,STRAWBERRY,0,2,6.0,126321.0,126321.0,1,0,2
1,623,delay,0,624,2,STRAWBERRY,2,2,-23.0,126203.0,126203.0,1,0,0
1,624,delay,0,648,2,STRAWBERRY,0,2,27.0,126259.0,126259.0,1,0,2
