candidate,candidate_money,candidate_status,changed_calls,changed_units,crash_advance_accepted,done,episode_id,errors,fixed_trace_money,margin,milk_delay_accepted,milk_delay_blocked,opponent_status,original_opponent,original_seed,pending_failures,replay
v22,186569.0,DONE,0,0,0,1,90726623,0,70841.0,115728.0,0,0,DONE,cjen07,2101779231,0,90726623.json
v22,106086.0,DONE,0,0,0,1,90758969,0,106592.0,-506.0,0,0,DONE,hongqian miao,524451126,0,90758969.json
v22,146635.0,DONE,0,0,0,1,90772020,0,47637.0,98998.0,0,0,DONE,Bharath Varma,1500069683,0,90772020.json
v22,120688.0,DONE,0,0,0,1,90779427,0,118345.0,2343.0,0,0,DONE,GUGUGAGA,1578236825,0,90779427.json
v22,173371.0,DONE,0,0,0,1,90841187,0,60371.0,113000.0,0,0,DONE,Michael McGrain,1815005698,0,90841187.json
v22,177320.0,DONE,0,0,0,1,90853622,0,66223.0,111097.0,0,0,DONE,HiroyukiSasaki,1085687710,0,90853622.json
v22,134079.0,DONE,0,0,0,1,90861832,0,135170.0,-1091.0,0,0,DONE,Simon Rüba,449509876,0,90861832.json
v029a,186619.0,DONE,0,0,0,1,90726623,0,70854.0,115765.0,0,0,DONE,cjen07,2101779231,0,90726623.json
v029a,106200.0,DONE,0,0,0,1,90758969,0,106630.0,-430.0,0,0,DONE,hongqian miao,524451126,0,90758969.json
v029a,146739.0,DONE,0,0,0,1,90772020,0,47695.0,99044.0,0,0,DONE,Bharath Varma,1500069683,0,90772020.json
v029a,120793.0,DONE,0,0,0,1,90779427,0,118379.0,2414.0,0,0,DONE,GUGUGAGA,1578236825,0,90779427.json
v029a,173426.0,DONE,0,0,0,1,90841187,0,60392.0,113034.0,0,0,DONE,Michael McGrain,1815005698,0,90841187.json
v029a,177379.0,DONE,0,0,0,1,90853622,0,66245.0,111134.0,0,0,DONE,HiroyukiSasaki,1085687710,0,90853622.json
v029a,134179.0,DONE,0,0,0,1,90861832,0,135189.0,-1010.0,0,0,DONE,Simon Rüba,449509876,0,90861832.json
v030a,186619.0,DONE,12,12,0,1,90726623,0,70854.0,115765.0,6,0,DONE,cjen07,2101779231,0,90726623.json
v030a,106177.0,DONE,6,6,0,1,90758969,0,106616.0,-439.0,3,3,DONE,hongqian miao,524451126,0,90758969.json
v030a,146727.0,DONE,10,10,0,1,90772020,0,47695.0,99032.0,5,1,DONE,Bharath Varma,1500069683,0,90772020.json
v030a,120780.0,DONE,10,10,0,1,90779427,0,118372.0,2408.0,5,1,DONE,GUGUGAGA,1578236825,0,90779427.json
v030a,173418.0,DONE,10,10,0,1,90841187,0,60392.0,113026.0,5,1,DONE,Michael McGrain,1815005698,0,90841187.json
v030a,177375.0,DONE,10,10,0,1,90853622,0,66245.0,111130.0,5,1,DONE,HiroyukiSasaki,1085687710,0,90853622.json
v030a,134172.0,DONE,10,10,0,1,90861832,0,135186.0,-1014.0,5,1,DONE,Simon Rüba,449509876,0,90861832.json
v030b,186535.0,DONE,14,14,1,1,90726623,0,70882.0,115653.0,6,0,DONE,cjen07,2101779231,0,90726623.json
v030b,105984.0,DONE,12,14,4,1,90758969,0,106818.0,-834.0,3,3,DONE,hongqian miao,524451126,0,90758969.json
v030b,146632.0,DONE,12,12,1,1,90772020,0,47715.0,98917.0,5,1,DONE,Bharath Varma,1500069683,0,90772020.json
v030b,120688.0,DONE,15,16,3,1,90779427,0,118528.0,2160.0,5,1,DONE,GUGUGAGA,1578236825,0,90779427.json
v030b,173323.0,DONE,12,12,1,1,90841187,0,60412.0,112911.0,5,1,DONE,Michael McGrain,1815005698,0,90841187.json
v030b,177283.0,DONE,12,12,1,1,90853622,0,66273.0,111010.0,5,1,DONE,HiroyukiSasaki,1085687710,0,90853622.json
v030b,134178.0,DONE,13,14,2,1,90861832,0,135275.0,-1097.0,5,1,DONE,Simon Rüba,449509876,0,90861832.json
