actual_margin_delta,control_margin,done,due,event_index,item,mode,opponent,opponent_cash_delta,own_cash_delta,raw_gain,seat,seed,single_event_margin,source_hash,step,transfer
169.0,5.0,1,240,0,WOOL,delay,v27_current,623.0,792.0,118.0,0,17,174.0,f48c21166eac68d1b05a401f04f94a2eb6154e65415af64893672365ff33c7b8,168,4
202.0,5.0,1,311,1,WOOL,delay,v27_current,34.0,236.0,436.0,0,17,207.0,f48c21166eac68d1b05a401f04f94a2eb6154e65415af64893672365ff33c7b8,240,10
77.0,5.0,1,381,2,WOOL,delay,v27_current,10.0,87.0,77.0,0,17,82.0,f48c21166eac68d1b05a401f04f94a2eb6154e65415af64893672365ff33c7b8,312,3
169.0,5.0,1,240,0,WOOL,delay,v27_current,623.0,792.0,85.0,1,17,174.0,f48c21166eac68d1b05a401f04f94a2eb6154e65415af64893672365ff33c7b8,168,4
202.0,5.0,1,311,1,WOOL,delay,v27_current,34.0,236.0,437.0,1,17,207.0,f48c21166eac68d1b05a401f04f94a2eb6154e65415af64893672365ff33c7b8,240,10
-23.0,5.0,1,381,2,WOOL,delay,v27_current,97.0,74.0,161.0,1,17,-18.0,f48c21166eac68d1b05a401f04f94a2eb6154e65415af64893672365ff33c7b8,312,6
-15.0,86.0,1,408,0,STRAWBERRY,delay,v27_current,24.0,9.0,188.0,0,42,71.0,f48c21166eac68d1b05a401f04f94a2eb6154e65415af64893672365ff33c7b8,384,7
0.0,86.0,1,455,1,MILK,delay,v27_current,0.0,0.0,366.0,0,42,86.0,f48c21166eac68d1b05a401f04f94a2eb6154e65415af64893672365ff33c7b8,432,5
273.0,86.0,1,519,2,WOOL,delay,v27_current,118.0,391.0,273.0,0,42,359.0,f48c21166eac68d1b05a401f04f94a2eb6154e65415af64893672365ff33c7b8,456,4
-15.0,-86.0,1,408,0,STRAWBERRY,delay,v27_current,24.0,9.0,172.0,1,42,-101.0,f48c21166eac68d1b05a401f04f94a2eb6154e65415af64893672365ff33c7b8,384,7
0.0,-86.0,1,455,1,MILK,delay,v27_current,0.0,0.0,366.0,1,42,-86.0,f48c21166eac68d1b05a401f04f94a2eb6154e65415af64893672365ff33c7b8,432,5
-120.0,-86.0,1,519,2,WOOL,delay,v27_current,516.0,396.0,357.0,1,42,-206.0,f48c21166eac68d1b05a401f04f94a2eb6154e65415af64893672365ff33c7b8,456,8
31.0,0.0,1,408,0,STRAWBERRY,delay,v27_current,10.0,41.0,240.0,0,2026,31.0,f48c21166eac68d1b05a401f04f94a2eb6154e65415af64893672365ff33c7b8,384,7
